iter	Passed	Remaining
687	38397	17412
688	38451	17356
689	38504	17299
690	38557	17242
691	38609	17184
692	38664	17128
693	38717	17071
694	38770	17014
695	38823	16957
696	38878	16901
697	38931	16844
698	38985	16787
699	39041	16732
700	39094	16674
701	39147	16617
702	39201	16561
703	39254	16504
704	39306	16447
705	39367	16393
706	39430	16340
707	39486	16285
708	39546	16231
709	39598	16174
710	39651	16117
711	39705	16060
712	39759	16004
713	39812	15947
714	39865	15890
715	39918	15833
716	39972	15777
717	40025	15720
718	40079	15664
719	40135	15608
720	40189	15551
721	40243	15495
722	40296	15438
723	40350	15382
724	40404	15325
725	40459	15269
726	40514	15213
727	40569	15158
728	40623	15101
729	40676	15044
730	40729	14987
731	40784	14931
732	40836	14875
733	40890	14818
734	40944	14762
735	40999	14706
736	41052	14649
737	41107	14593
738	41161	14537
739	41215	14481
740	41269	14424
741	41323	14368
742	41375	14311
743	41429	14255
744	41482	14198
745	41534	14141
746	41588	14085
747	41641	14029
748	41696	13972
749	41750	13916
750	41805	13860
751	41857	13804
752	41911	13747
753	41965	13691
754	42019	13635
755	42072	13578
756	42124	13522
757	42178	13465
758	42230	13409
759	42283	13352
760	42338	13296
761	42390	13240
762	42444	13184
763	42499	13128
764	42552	13071
765	42604	13015
766	42656	12958
767	42710	12902
768	42763	12845
769	42818	12789
770	42871	12733
771	42923	12677
772	42977	12620
773	43031	12564
774	43086	12508
775	43140	12452
776	43194	12396
777	43249	12341
778	43302	12284
779	43355	12228
780	43408	12172
781	43461	12115
782	43515	12059
783	43568	12003
784	43621	11947
785	43673	11890
786	43726	11834
787	43779	11778
788	43832	11722
789	43886	11665
790	43939	11609
791	43993	11553
792	44045	11497
793	44097	11441
794	44150	11384
795	44205	11329
796	44259	11273
797	44311	11216
798	44365	11160
799	44418	11104
800	44473	11049
801	44527	10993
802	44580	10936
803	44633	10880
804	44694	10826
805	44748	10770
806	44802	10714
807	44854	10658
808	44908	10602
809	44960	10546
810	45013	10490
811	45065	10433
812	45119	10378
813	45173	10322
814	45227	10266
815	45279	10210
816	45333	10154
817	45385	10097
818	45438	10041
819	45491	9985
820	45544	9929
821	45597	9873
822	45651	9818
823	45703	9761
824	45757	9706
825	45810	9650
826	45863	9594
827	45916	9538
828	45969	9482
829	46022	9426
830	46082	9371
831	46135	9315
832	46190	9260
833	46244	9204
834	46298	9148
835	46351	9092
836	46405	9037
